Nom,Lien Profil,Image,Traits,Tags,Anime Associé,Manga Associé
Nan Feng,https://www.anime-planet.com/characters/nan-feng,https://cdn.anime-planet.com/characters/primary/nan-feng-1-285x399.webp?t=1697552904,"Male, Black Hair","Deity, Immortal, Martial Artist, Ponytail",Heaven Official's Blessing,Heaven Official's Blessing
Aki HAYAKAWA,https://www.anime-planet.com/characters/aki-hayakawa,https://cdn.anime-planet.com/characters/primary/aki-hayakawa-1-285x400.webp?t=1667940616,"Male, Blue Hair","Demon Hunter, Piercings, Smoker, Topknot",Chainsaw Man,Chainsaw Man
Shinra KISHITANI,https://www.anime-planet.com/characters/shinra-kishitani,https://cdn.anime-planet.com/characters/primary/shinra-kishitani-1-190x266.jpg?t=1625966929,"Male, Black Hair","Adult, Doctor, Glasses, Scientist",Durarara!!,Durarara!!
Tomura SHIGARAKI,https://www.anime-planet.com/characters/tomura-shigaraki,https://cdn.anime-planet.com/characters/primary/tomura-shigaraki-1-190x266.jpg?t=1625993013,"Male, Grey Hair","Adult, Birthmark / Mole, Eye Bags, Masks, No Eyebrows, Ruthless, Scar, Superpowers",My Hero Academia,My Hero Academia
Euphemia LI BRITANNIA,https://www.anime-planet.com/characters/euphemia-li-britannia,https://cdn.anime-planet.com/characters/primary/euphemia-li-britannia-1-190x266.jpg?t=1625965967,"Female, Pink Hair","Choker, Hair Buns, Pacifist, Rapunzel Hair, Royalty, Teenager",Code Geass: Lelouch of the Rebellion,Barcode Geass: Hanbai no Lelouch
Kiyoko SHIMIZU,https://www.anime-planet.com/characters/kiyoko-shimizu,https://cdn.anime-planet.com/characters/primary/kiyoko-shimizu-1-190x267.jpg?t=1625991211,"Female, Black Hair","Birthmark / Mole, Glasses, High School Student, Stoic, Team Manager, Teenager",Haikyuu!!,Haikyuu!!
Yuki CROSS,https://www.anime-planet.com/characters/yuki-cross,https://cdn.anime-planet.com/characters/primary/yuki-cross-1-285x399.webp?t=1719173637,"Female, Brown Hair","High School Student, Teenager",Vampire Knight,Vampire Knight
Rider,https://www.anime-planet.com/characters/rider-fate-zero,https://cdn.anime-planet.com/characters/primary/rider-fate-zero-1-190x292.jpg?t=1625974528,"Male, Red Hair","Armor, Breathtaking Beard, Cape, Charismatic, Facial Hair, Historical Figure, Immortal, Magical Familiar, Muscular, Royalty, Scar, Warrior",Carnival Phantasm,Fate/Grand Order: Turas Réalta
Arisa UOTANI,https://www.anime-planet.com/characters/arisa-uotani,https://cdn.anime-planet.com/characters/primary/arisa-uotani-1-190x266.jpg?t=1625966016,"Female, Blonde Hair","Blinding Bangs, Delinquent, High School Student, Part Time Employee, Teenager",Fruits Basket,Fruits Basket
Tatsuya SHIBA,https://www.anime-planet.com/characters/tatsuya-shiba,https://cdn.anime-planet.com/characters/primary/tatsuya-shiba-1-190x267.jpg?t=1625990140,"Male, Black Hair","Analytical, Bodyguard, Computer Programmer, Disciplinary Committee, Dual Wielder, Engineer, Gunslinger, High School Student, Magic User, Martial Artist, Sister Complex, Stoic, Teenager",Eromanga Sensei,The Honor Student at Magic High School
San,https://www.anime-planet.com/characters/san,https://cdn.anime-planet.com/characters/primary/san-1-190x266.jpg?t=1625966268,"Female, Brown Hair","Circlet, Face Markings, Orphan, Teenager, Warrior",Princess Mononoke,Princess Mononoke
Suzuha AMANE,https://www.anime-planet.com/characters/suzuha-amane,https://cdn.anime-planet.com/characters/primary/suzuha-amane-1-190x266.jpg?t=1625972830,"Female, Brown Hair","Braids, Cyclist, Part Time Employee, Pigtails, Teenager",Steins;Gate,Magi-Cu 4-koma: Steins;Gate - Sekaisen Hendouritsu x. 091015%
Aoi TODO,https://www.anime-planet.com/characters/aoi-todo,https://cdn.anime-planet.com/characters/primary/aoi-todo-1-190x266.jpg?t=1628428214,"Male, Black Hair","Airhead, Exorcist, Muscular, Ruthless, Scar, Teleportation Powers",Eve: Kaikai Kitan,Jujutsu Kaisen
Emi YUSA,https://www.anime-planet.com/characters/emi-yusa,https://cdn.anime-planet.com/characters/primary/emi-yusa-1-285x400.webp?t=1660294371,"Female, Red Hair","Angel, Braids, Hair Antenna, Half-Breed, Hot-Headed, Person in a Strange World, Rapunzel Hair, Salaryman, Sword Fighter, Teenager, Warrior",The Devil is a Part-Timer!,The Devil is a Part-Timer!
Saki HANAJIMA,https://www.anime-planet.com/characters/saki-hanajima,https://cdn.anime-planet.com/characters/primary/saki-hanajima-1-190x266.jpg?t=1625966016,"Female, Black Hair","Braids, High School Student, Ponytail, Teenager",Fruits Basket,Fruits Basket
Kosaki ONODERA,https://www.anime-planet.com/characters/kosaki-onodera,https://cdn.anime-planet.com/characters/primary/kosaki-onodera-1-190x266.jpg?t=1625980993,"Female, Brown Hair","Deadly Chef, High School Student, Shy, Teenager",Nisekoi,Magical Pâtissier Kosaki-chan
Kaname CHIDORI,https://www.anime-planet.com/characters/kaname-chidori,https://cdn.anime-planet.com/characters/primary/kaname-chidori-1-190x266.jpg?t=1625965336,"Female, Blue Hair","Athlete, Class Representative, Hair Ribbons, High School Student, Hot-Headed, Student Council, Teenager, Tsundere",Full Metal Panic!,Full Metal Panic!
Plue,https://www.anime-planet.com/characters/plue,https://cdn.anime-planet.com/characters/primary/plue-1-190x283.jpg?t=1625966658,White Hair,Big Nose,Edens Zero,Edens Zero
Lubbock,https://www.anime-planet.com/characters/lubbock,https://cdn.anime-planet.com/characters/primary/lubbock-1-190x285.jpg?t=1625991589,"Male, Green Hair","Assassin, Blinding Bangs, Goggles, Pervert, Razor Floss",Akame ga Kill!,Akame ga Kill!
Gin,https://www.anime-planet.com/characters/gin-hotarubi-no-mori-e,https://cdn.anime-planet.com/characters/primary/gin-hotarubi-no-mori-e-1-190x266.jpg?t=1625976749,"Male, Grey Hair","Human Guise, Immortal, Masks",Hotarubi no Mori e,Hotarubi no Mori e
Mami TOMOE,https://www.anime-planet.com/characters/mami-tomoe,https://cdn.anime-planet.com/characters/primary/mami-tomoe-1-190x266.jpg?t=1625971672,"Female, Blonde Hair","Gunslinger, Hair Drills, Magical Girl, Middle School Student, Pigtails, Teenager",ClariS: Luminous,Magia Record: Puella Magi Madoka Magica Another Story
Tamaki AMAJIKI,https://www.anime-planet.com/characters/tamaki-amajiki,https://cdn.anime-planet.com/characters/primary/tamaki-amajiki-1-190x267.jpg?t=1626009166,"Male, Purple Hair","High School Student, Pointy Ears, Shy, Superpowers, Teenager",My Hero Academia 3,My Hero Academia
Shun KAIDOU,https://www.anime-planet.com/characters/shun-kaidou,https://cdn.anime-planet.com/characters/primary/shun-kaidou-1-190x266.jpg?t=1625997069,"Male, Blue Hair","Chuunibyou, High School Student, No Sense of Direction, Teenager",The Disastrous Life of Saiki K.,Saiki Kusuo no Ψ Nan
Kankuro,https://www.anime-planet.com/characters/kankuro,https://cdn.anime-planet.com/characters/primary/kankuro-1-285x399.webp?t=1725333858,"Male, Brown Hair","Face Markings, Gloves, Headband, Ninja, Puppeteer",Boruto: Naruto Next Generations,Boruto
Tanaka,https://www.anime-planet.com/characters/tanaka-black-butler,https://cdn.anime-planet.com/characters/primary/tanaka-black-butler-1-285x400.webp?t=1660952192,"Male, Grey Hair","Butler, Elderly, Facial Hair, Monocle",Black Butler,Black Butler
Marin KITAGAWA,https://www.anime-planet.com/characters/marin-kitagawa,https://cdn.anime-planet.com/characters/primary/marin-kitagawa-1-285x400.webp?t=1641698248,"Female, Blonde Hair","Big Eater, Choker, Cosplayer, Gyaru, High School Student, Otaku, Piercings, Teenager",My Dress-Up Darling,My Dress-Up Darling
Akane TSUNEMORI,https://www.anime-planet.com/characters/akane-tsunemori,https://cdn.anime-planet.com/characters/primary/akane-tsunemori-1-190x291.jpg?t=1625979159,"Female, Brown Hair","Adult, Detective, Police",PSYCHO-PASS,Gakuen Psycho-Pass
Ayane YANO,https://www.anime-planet.com/characters/ayane-yano,https://cdn.anime-planet.com/characters/primary/ayane-yano-1-285x399.webp?t=1721857322,"Female, Brown Hair","High School Student, Piercings, Teenager",Kimi ni Todoke - From Me To You,Kimi ni Todoke: From Me to You
Shuu TSUKIYAMA,https://www.anime-planet.com/characters/shuu-tsukiyama,https://cdn.anime-planet.com/characters/primary/shuu-tsukiyama-1-190x285.jpg?t=1625991791,"Male, Purple Hair","Adult, Big Ego, Cannibal, Exotic Eyes, Flamboyant, Manipulative, Monster, Wealthy",Tokyo Ghoul,Tokyo Ghoul
Integra Fairbrook Wingates HELLSING,https://www.anime-planet.com/characters/integra-faibrook-wingates-hellsing,https://cdn.anime-planet.com/characters/primary/integra-faibrook-wingates-hellsing-1-190x291.jpg?t=1625965337,"Female, Blonde Hair","Dark-skinned, Glasses, Gloves, Nobility, Smoker, Vampire Hunter",Hellsing,Hellsing
Sinbad,https://www.anime-planet.com/characters/sinbad,https://cdn.anime-planet.com/characters/primary/sinbad-1-190x266.jpg?t=1625979648,"Male, Purple Hair","Adult, Charismatic, Hair Antenna, Magic User, Piercings, Ponytail, Royalty, Wealthy",Magi: Adventure of Sinbad,Magi
Ginko,https://www.anime-planet.com/characters/ginko,https://cdn.anime-planet.com/characters/primary/ginko-1-190x266.jpg?t=1625965200,"Male, White Hair","Adult, Blinding Bangs, Merchant, Smoker, Spirit Seer, Traveler",Mushishi,Mushishi
Kofuku EBISU,https://www.anime-planet.com/characters/kofuku-ebisu,https://cdn.anime-planet.com/characters/primary/kofuku-ebisu-1-190x267.jpg?t=1625990871,"Female, Pink Hair","Deity, Fortune Teller, Mischievous, Rosy Cheeks, Snaggletooth, Unconventional Weapon",Noragami,Noragami: Stray God
Hiruzen SARUTOBI,https://www.anime-planet.com/characters/hiruzen-sarutobi,https://cdn.anime-planet.com/characters/primary/hiruzen-sarutobi-1-285x399.webp?t=1725334047,"Male, White Hair","Beastmaster, Elderly, Facial Hair, Hat, Ninja, Pipe, Smoker, Staff Wielder",Naruto,Boruto: Naruto the Movie Tokubetsu Bangai-hen - Naruto ga Hokage ni Natta Hi
Ryuunosuke AKUTAGAWA,https://www.anime-planet.com/characters/ryuunosuke-akutagawa,https://cdn.anime-planet.com/characters/primary/ryuunosuke-akutagawa-1-190x263.jpg?t=1626002783,"Male, Multicolored Hair","Adult, Gangster, No Eyebrows, Ruthless, Scarf, Superpowers",Bungo Stray Dogs,Bungo Stray Dogs
Dot PYXIS,https://www.anime-planet.com/characters/dot-pyxis,https://cdn.anime-planet.com/characters/primary/dot-pyxis-1-190x266.jpg?t=1625973321,Male,"Adult, Bald, Facial Hair, Heavy Drinker, Military",20-pun de Oitsukeru: Attack on Titan,Attack on Titan
Pantherlily,https://www.anime-planet.com/characters/pantherlily,https://cdn.anime-planet.com/characters/primary/pantherlily-1-190x285.jpg?t=1625971838,"Male, Multicolored Hair","Animal, Anthropomorphic, Magic User, Panther, Scar, Sword Fighter, Wings",Fairy Tail,Fairy Tail
Illyasviel VON EINZBERN,https://www.anime-planet.com/characters/illyasviel-von-einzbern,https://cdn.anime-planet.com/characters/primary/illyasviel-von-einzbern-1-190x266.jpg?t=1625966817,"Female, White Hair","Big Ego, Hat, Magic User, Nobility",Carnival Phantasm,All Around Type-Moon: Ahnenerbe no Nichijou
Mayuri KUROTSUCHI,https://www.anime-planet.com/characters/mayuri-kurotsuchi,https://cdn.anime-planet.com/characters/primary/mayuri-kurotsuchi-1-190x266.jpg?t=1625965231,"Male, Blue Hair","Agent of the Afterlife, Poison User, Sadistic, Scientist, Shinigami, Sword Fighter",Bleach,Bleach
Android 18,https://www.anime-planet.com/characters/android-18,https://cdn.anime-planet.com/characters/primary/android-18-1-190x267.jpg?t=1625966200,"Female, Blonde Hair","Cyborg, Genetically Engineered, Hot-Headed",Dragon Ball Daima,Dragon Ball Super
Bon KUREI,https://www.anime-planet.com/characters/bon-kurei,https://cdn.anime-planet.com/characters/primary/bon-kurei-1-190x266.jpg?t=1625965220,Black Hair,"Adult, Crossdresser, Flamboyant, LGBT+, Martial Artist, No Eyebrows, Non-Binary Gender, Sailor, Superpowers",Hungry Days x Bump of Chicken: Kinen Satsuei,One Piece
Lala Satalin DEVILUKE,https://www.anime-planet.com/characters/lala-satalin-deviluke,https://cdn.anime-planet.com/characters/primary/lala-satalin-deviluke-1-190x266.jpg?t=1625966422,"Female, Pink Hair","Airhead, Alien, Eternal Optimist, Frequently-Naked, Hair Antenna, High School Student, Inventor, Royalty, Tail, Teenager",Motto To Love Ru,Mayoi Neko Overrun!
Sakura KINOMOTO,https://www.anime-planet.com/characters/sakura-kinomoto,https://cdn.anime-planet.com/characters/primary/sakura-kinomoto-1-285x399.webp?t=1656627746,"Female, Brown Hair","Cheerleader, Magical Girl, Pigtails, Staff Wielder, Summoners",Cardcaptor Sakura,Cardcaptor Sakura
Akiko YOSANO,https://www.anime-planet.com/characters/akiko-yosano,https://cdn.anime-planet.com/characters/primary/akiko-yosano-1-190x266.jpg?t=1626002783,"Female, Black Hair","Adult, Detective, Doctor, Gloves, Healing Powers, Sadistic, Superpowers",Bungo Stray Dogs,Bungo Stray Dogs
Ken RYUGUJI,https://www.anime-planet.com/characters/ken-ryuguji,https://cdn.anime-planet.com/characters/primary/ken-ryuguji-1-285x400.webp?t=1635020296,Male,"Biker, Braids, Delinquent, Piercings, Ponytail, Tattoo",ChibiReve,Tokyo Revengers
Asia ARGENTO,https://www.anime-planet.com/characters/asia-argento,https://cdn.anime-planet.com/characters/primary/asia-argento-1-190x266.jpg?t=1625976205,"Female, Blonde Hair","Hair Antenna, Healing Powers, High School Student, Orphan, Teenager",High School DxD,High School DxD
Kayo HINAZUKI,https://www.anime-planet.com/characters/kayo-hinazuki,https://cdn.anime-planet.com/characters/primary/kayo-hinazuki-1-285x400.webp?t=1628018043,"Female, Brown Hair",Scarf,ERASED,Erased
Tsubasa HANEKAWA,https://www.anime-planet.com/characters/tsubasa-hanekawa,https://cdn.anime-planet.com/characters/primary/tsubasa-hanekawa-1-190x266.jpg?t=1625965330,"Female, Black Hair","Class Representative, High School Student, Teenager",Bakemonogatari,Bakemonogatari: Monster Tale (Light Novel)
Ai HAYASAKA,https://www.anime-planet.com/characters/ai-hayasaka,https://cdn.anime-planet.com/characters/primary/ai-hayasaka-1-190x266.jpg?t=1626010606,"Female, Blonde Hair","High School Student, Maid, Ponytail, Secret Identity, Teenager",He Wei Dao x Kaguya-sama: Love Is War?,Kaguya-sama: Love Is War
Ram,https://www.anime-planet.com/characters/ram-re-zero-kara-hajimeru-isekai-seikatsu,https://cdn.anime-planet.com/characters/primary/ram-re-zero-kara-hajimeru-isekai-seikatsu-1-190x266.jpg?t=1625995344,"Female, Pink Hair","Blinding Bangs, Elemental Powers, Headband, Magic User, Maid, Teenager, Wind Powers",Isekai Quartet,Re:ZERO -Starting Life in Another World- Chapter 1: A Day in the Capital
Motoko KUSANAGI,https://www.anime-planet.com/characters/motoko-kusanagi,https://cdn.anime-planet.com/characters/primary/motoko-kusanagi-1-190x266.jpg?t=1625966842,"Female, Purple Hair","Adult, Bisexual, Cyborg, Hacker, Invisibility Powers, LGBT+, Military, Police",Channel 5.5 2nd Season,Ghost in the Shell
Usagi TSUKINO,https://www.anime-planet.com/characters/usagi-tsukino,https://cdn.anime-planet.com/characters/primary/usagi-tsukino-1-190x266.jpg?t=1625966438,"Female, Blonde Hair","Big Eater, Clumsy, Crybaby, Hair Buns, Lazy, Magical Girl, Pigtails, Rapunzel Hair, Secret Identity, Teenager",Momoiro Clover Z: Moon Pride,Codename: Sailor V
Kotarou KATSURA,https://www.anime-planet.com/characters/kotarou-katsura,https://cdn.anime-planet.com/characters/primary/kotarou-katsura-1-190x291.jpg?t=1625966115,"Male, Black Hair","Adult, Explosives Expert, Samurai, Terrorist",China KFC x Gintama,Gintama
Nezumi,https://www.anime-planet.com/characters/nezumi-no6,https://cdn.anime-planet.com/characters/primary/nezumi-no6-1-285x400.webp?t=1674658437,"Male, Black Hair","Actor, Gay, LGBT+, Ponytail, Scar, Teenager",No. 6,No. 6
Suruga KANBARU,https://www.anime-planet.com/characters/suruga-kanbaru,https://cdn.anime-planet.com/characters/primary/suruga-kanbaru-1-190x267.jpg?t=1625965331,"Female, Purple Hair","Athlete, Bandages, Basketball Player, Fujoshi, High School Student, Lesbian, LGBT+, Teenager, Tomboy",Bakemonogatari,Bakemonogatari: Monster Tale (Light Novel)
Tadaomi KARASUMA,https://www.anime-planet.com/characters/tadaomi-karasuma,https://cdn.anime-planet.com/characters/primary/tadaomi-karasuma-1-190x285.jpg?t=1625981374,"Male, Black Hair","Adult, Military, Teacher",Assassination Classroom,Assassination Classroom
Smoker,https://www.anime-planet.com/characters/smoker,https://cdn.anime-planet.com/characters/primary/smoker-1-190x267.jpg?t=1625965604,"Male, Grey Hair","Adult, Honorable Fighter, Military, Sailor, Scar, Smoker, Superpowers",Hungry Days x One Piece,One Piece
Shintarou MIDORIMA,https://www.anime-planet.com/characters/shintarou-midorima,https://cdn.anime-planet.com/characters/primary/shintarou-midorima-1-190x266.jpg?t=1625977311,"Male, Green Hair","Athlete, Bandages, Basketball Player, Big Ego, Glasses, High School Student, Teenager, Tsundere, Verbal Tic",Kuroko's Basketball,Kuroko’s Basketball
Mao,https://www.anime-planet.com/characters/mao-darker-than-black,https://cdn.anime-planet.com/characters/primary/mao-darker-than-black-1-190x266.jpg?t=1625966544,"Male, Black Hair","Animal, Cat, Superpowers",Darker than Black,Darker Than Black
Yuuko ICHIHARA,https://www.anime-planet.com/characters/yuuko-ichihara,https://cdn.anime-planet.com/characters/primary/yuuko-ichihara-1-277x388.webp?t=1728169587,"Female, Black Hair","Adult, Heavy Drinker, Magic User, Mischievous, Pipe, Rapunzel Hair, Smoker",CLAMP in Wonderland 2,Clamp in Wonderland EX
Rem GALEU,https://www.anime-planet.com/characters/rem-galeu,https://cdn.anime-planet.com/characters/primary/rem-galeu-1-231x323.webp?t=1728408820,"Female, Black Hair","Animal Ears, Braids, Catgirl, Summoners, Tail",How NOT to Summon a Demon Lord,How NOT to Summon a Demon Lord
Lloyd ASPLUND,https://www.anime-planet.com/characters/lloyd-asplund,https://cdn.anime-planet.com/characters/primary/lloyd-asplund-1-285x399.webp?t=1641601009,"Male, Purple Hair","Glasses, Inventor, Military, Nobility, Scientist",Code Geass: Lelouch of the Rebellion,Barcode Geass: Hanbai no Lelouch
Mirai KURIYAMA,https://www.anime-planet.com/characters/mirai-kuriyama,https://cdn.anime-planet.com/characters/primary/mirai-kuriyama-1-190x265.jpg?t=1625989823,"Female, Brown Hair","Bandages, Big Eater, Blood Power, Clumsy, Exorcist, Glasses, Hair Antenna, High School Student, Poor, Sword Fighter, Teenager, Transfer Student",Beyond the Boundary,Kyoukai no Kanata (Light Novel)
Seijuurou AKASHI,https://www.anime-planet.com/characters/seijuurou-akashi,https://cdn.anime-planet.com/characters/primary/seijuurou-akashi-1-190x266.jpg?t=1625979380,"Male, Red Hair","Athlete, Basketball Player, Big Ego, Charismatic, God Complex, Heterochromia, High School Student, Student Council, Team Captain, Teenager, Wealthy",Kuroko's Basketball,Kuroko’s Basketball
Nishio NISHIKI,https://www.anime-planet.com/characters/nishio-nishiki,https://cdn.anime-planet.com/characters/primary/nishio-nishiki-1-190x266.jpg?t=1625991604,"Male, Orange Hair","Exotic Eyes, Glasses, Monster, University Student",Tokyo Ghoul,Tokyo Ghoul
Elfman STRAUSS,https://www.anime-planet.com/characters/elfman-strauss,https://cdn.anime-planet.com/characters/primary/elfman-strauss-1-130x180.jpg?t=1625966724,"Male, White Hair","Dark-skinned, Magic User, Muscular, No Eyebrows, Scar, Teenager",Fairy Tail,Fairy Tail
Takato SAIJYO,https://www.anime-planet.com/characters/takato-saijyo,https://cdn.anime-planet.com/characters/primary/takato-saijyo-1-190x266.jpg?t=1626010866,"Male, Black Hair","Actor, Adult, Big Ego, Gay, Idol, LGBT+, Uke",DAKAICHI: I'm being harassed by the sexiest man of the year,Dakaichi: I'm Being Harassed By the Sexiest Man of the Year
Saito HIRAGA,https://www.anime-planet.com/characters/saito-hiraga,https://cdn.anime-planet.com/characters/primary/saito-hiraga-1-190x266.jpg?t=1625966493,"Male, Black Hair","Magical Familiar, Person in a Strange World, Sword Fighter, Teenager",The Familiar of Zero,Zero no Tsukaima Gaiden: Tabitha no Bouken
Shiemi MORIYAMA,https://www.anime-planet.com/characters/shiemi-moriyama,https://cdn.anime-planet.com/characters/primary/shiemi-moriyama-1-285x399.webp?t=1653351919,"Female, Blonde Hair","Crybaby, Deadly Chef, Demon Hunter, Exorcist, Gardener, Hair Antenna, Shy, Summoners, Teenager",Blue Exorcist,Blue Exorcist
Alice,https://www.anime-planet.com/characters/alice,https://cdn.anime-planet.com/characters/primary/alice-1-190x266.jpg?t=1625965401,"Female, Brown Hair","Amnesia, Big Eater, Bossy, Braids, Chain Fighter, Hot-Headed, Immortal, Magical Familiar, Rapunzel Hair, Shapeshifter, Tsundere",Pandora Hearts,Pandora Hearts
Kakashi no Kabu,https://www.anime-planet.com/characters/kakashi-no-kabu,https://cdn.anime-planet.com/characters/primary/kakashi-no-kabu-1-190x266.jpg?t=1625965925,Male,"Hat, Inanimate Object",Howl's Moving Castle,Howl's Moving Castle
Shirou ASHIYA,https://www.anime-planet.com/characters/shirou-ashiya,https://cdn.anime-planet.com/characters/primary/shirou-ashiya-1-285x400.webp?t=1662127417,"Male, White Hair","Cook, Demon, Human Guise, Magic User, Person in a Strange World, Poor, Tail",The Devil is a Part-Timer!,The Devil is a Part-Timer!
Eru CHITANDA,https://www.anime-planet.com/characters/eru-chitanda,https://cdn.anime-planet.com/characters/primary/eru-chitanda-1-190x266.jpg?t=1625977545,"Female, Black Hair","Club President, Eternal Optimist, High School Student, Teenager",Hyouka,Hyouka
Umehito NEKOZAWA,https://www.anime-planet.com/characters/umehito-nekozawa,https://cdn.anime-planet.com/characters/primary/umehito-nekozawa-1-190x267.jpg?t=1625966851,Male,"Blinding Bangs, High School Student, Puppeteer, Teenager, Wealthy",Ouran High School Host Club,Ouran High School Host Club
Mifune,https://www.anime-planet.com/characters/mifune,https://cdn.anime-planet.com/characters/primary/mifune-1-130x180.jpg?t=1625965756,"Male, Grey Hair","Adult, Bodyguard, Samurai, Stoic",Soul Eater,Soul Eater
Obito UCHIHA,https://www.anime-planet.com/characters/obito-uchiha,https://cdn.anime-planet.com/characters/primary/obito-uchiha-1-130x185.jpg?t=1625968113,"Male, Black Hair","Exotic Eyes, Goggles, Ninja, Teenager",Naruto Shippuden,Naruto
Tomoko KUROKI,https://www.anime-planet.com/characters/tomoko-kuroki,https://cdn.anime-planet.com/characters/primary/tomoko-kuroki-1-190x263.jpg?t=1625976682,"Female, Black Hair","Blinding Bangs, Eye Bags, High School Student, Shy, Teenager, Video Gamer","Watamote: No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!","No Matter How I Look at It, It's You Guys' Fault I'm Not Popular!"
Yoshimura,https://www.anime-planet.com/characters/yoshimura-tokyo-ghoul,https://cdn.anime-planet.com/characters/primary/yoshimura-tokyo-ghoul-1-190x297.jpg?t=1625989961,"Male, Grey Hair","Barista, Closed Eyes, Exotic Eyes, Monster, Stoic",Tokyo Ghoul,Tokyo Ghoul
Takashi NATSUME,https://www.anime-planet.com/characters/takashi-natsume,https://cdn.anime-planet.com/characters/primary/takashi-natsume-1-190x266.jpg?t=1625966266,"Male, Blonde Hair","High School Student, Orphan, Spirit Seer, Teenager",Natsume's Book of Friends,Natsume's Book of Friends
Victorique,https://www.anime-planet.com/characters/victorique,https://cdn.anime-planet.com/characters/primary/victorique-1-190x266.jpg?t=1625971614,"Female, Blonde Hair","Analytical, Bookworm, Bossy, Detective, Gothic Lolita, Headband, High School Student, Pipe, Rapunzel Hair, Small Stature, Sweet Tooth, Teenager, Tone Deaf",Gosick,Gosick
Bulat,https://www.anime-planet.com/characters/bulat,https://cdn.anime-planet.com/characters/primary/bulat-1-190x285.jpg?t=1625991590,"Male, Black Hair","Assassin, Gay, LGBT+, Muscular, Pompadour, Power Suit",Akame ga Kill!,Akame ga Kill!
Mizuki,https://www.anime-planet.com/characters/mizuki-kamisama-kiss,https://cdn.anime-planet.com/characters/primary/mizuki-kamisama-kiss-1-190x267.jpg?t=1625979562,"Male, White Hair","Crybaby, Magical Familiar, Youkai",Kamisama Kiss,Kamisama Kiss
Shion SONOZAKI,https://www.anime-planet.com/characters/shion-sonozaki,https://cdn.anime-planet.com/characters/primary/shion-sonozaki-1-190x266.jpg?t=1625966333,"Female, Green Hair","Teenager, Twin, Wealthy",Higurashi no Naku Koro ni Kira,Higurashi no Naku Koro ni Kai: Utsutsukowashi-hen
Tatsumi OGA,https://www.anime-planet.com/characters/tatsumi-oga,https://cdn.anime-planet.com/characters/primary/tatsumi-oga-1-190x266.jpg?t=1625971619,"Male, Brown Hair","Delinquent, High School Student, Single Parent, Teenager",Beelzebub,Beelzebub
Shirou FUJIMOTO,https://www.anime-planet.com/characters/shirou-fujimoto,https://cdn.anime-planet.com/characters/primary/shirou-fujimoto-1-190x267.jpg?t=1625972083,"Male, Grey Hair","Adult, Demon Hunter, Exorcist, Facial Hair, Glasses, Priest, Single Parent, Smoker",Blue Exorcist,Blue Exorcist
Alibaba SALUJA,https://www.anime-planet.com/characters/alibaba-saluja,https://cdn.anime-planet.com/characters/primary/alibaba-saluja-1-190x266.jpg?t=1625979170,"Male, Blonde Hair","Magic User, Piercings, Sword Fighter, Teenager",Magi: The Kingdom of Magic,Magi
Ryuji SUGURO,https://www.anime-planet.com/characters/ryuji-suguro,https://cdn.anime-planet.com/characters/primary/ryuji-suguro-1-285x400.webp?t=1653509002,Male,"Exorcist, Facial Hair, Gunslinger, High School Student, Hot-Headed, Kansai Dialect, Piercings, Teenager",Blue Exorcist,Blue Exorcist
Taki TACHIBANA,https://www.anime-planet.com/characters/taki-tachibana,https://cdn.anime-planet.com/characters/primary/taki-tachibana-1-190x266.jpg?t=1626004910,"Male, Brown Hair","High School Student, Kansai Dialect, Part Time Employee, Teenager",RADWIMPS: Sparkle,your name.
Yasuko TAKASU,https://www.anime-planet.com/characters/yasuko-takasu,https://cdn.anime-planet.com/characters/primary/yasuko-takasu-1-190x289.jpg?t=1625965239,"Female, Blonde Hair","Adult, Airhead, Hostess, Single Parent",Toradora!,Toradora!
Muichiro TOKITO,https://www.anime-planet.com/characters/muichiro-tokito,https://cdn.anime-planet.com/characters/primary/muichiro-tokito-1-285x399.webp?t=1687225680,"Male, Multicolored Hair","Airhead, Amnesia, Demon Hunter, Orphan, Stoic, Sword Fighter, Teenager, Twin, Water Powers",Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba
Petra RALL,https://www.anime-planet.com/characters/petra-rall,https://cdn.anime-planet.com/characters/primary/petra-rall-1-190x266.jpg?t=1625973322,"Female, Orange Hair","Military, Sword Fighter",Attack on Titan,Attack on Titan
Kiritsugu EMIYA,https://www.anime-planet.com/characters/kiritsugu-emiya,https://cdn.anime-planet.com/characters/primary/kiritsugu-emiya-1-190x266.jpg?t=1625973591,"Male, Black Hair","Adult, Analytical, Facial Hair, Gunslinger, Magic User, Ruthless, Time Manipulator",Carnival Phantasm,All Around Type-Moon: Ahnenerbe no Nichijou
Kirino KOUSAKA,https://www.anime-planet.com/characters/kirino-kousaka,https://cdn.anime-planet.com/characters/primary/kirino-kousaka-1-190x284.jpg?t=1625970220,"Female, Orange Hair","Athlete, Bossy, Hot-Headed, Middle School Student, Model, Otaku, Rosy Cheeks, Selfish, Snaggletooth, Teenager, Track and Fielder, Tsundere, Video Gamer, Writer",ClariS: Nexus,Oreimo
Zeref,https://www.anime-planet.com/characters/zeref,https://cdn.anime-planet.com/characters/primary/zeref-1-190x266.jpg?t=1625974405,"Male, Black Hair","Cursebearer, Immortal, Magic User",Fairy Tail,Fairy Tail
